DateTime,Entries,UniqueIPs
1445542200,9656,9656
1445543100,9658,9658
1445544000,9669,9669
1445545800,9674,9674
1445546700,9669,9669
1445548500,9672,9672
1445550300,9667,9667
1445552100,9678,9678
1445553900,9673,9673
1445555700,9691,9691
1445557500,9697,9697
1445559300,9691,9691
1445561100,9689,9689
1445562900,9685,9685
1445564700,9699,9699
1445566500,9703,9703
1445568300,9716,9716
1445570100,9704,9704
1445571900,9714,9714
1445573700,9713,9713
1445574600,9715,9715
1445575500,9732,9732
1445577300,9731,9731
1445579100,9744,9744
1445580900,9729,9729
1445582700,9726,9726
1445584500,9727,9727
1445586300,9744,9744
1445588100,9737,9737
1445589900,9618,9618
1445591700,9617,9617
1445593500,9570,9570
1445595300,9561,9561
1445597100,9526,9526
1445598900,9531,9531
1445600700,9541,9541
1445602500,9543,9543
1445604300,9452,9452
1445606100,9440,9440
1445607900,9365,9365
1445609700,9361,9361
1445610600,9364,9364
1445611500,9255,9255
1445613300,9254,9254
1445615100,9155,9155
1445953500,8605,8605
1445956200,8604,8604
1445957100,8611,8611
1445959800,8618,8618
1445960700,8617,8617
1445961600,8631,8631
1445963400,8616,8616
1445964300,8615,8615
1445967000,8617,8617
1445967900,8620,8620
1445970600,8684,8684
1445971500,8679,8679
1445974200,8684,8684
1445975100,8686,8686
1445978700,8679,8679
1445981400,8681,8681
1445982300,8676,8676
1445985900,8683,8683
1445988600,8692,8692
1445989500,8682,8682
1445992200,8684,8684
1445993100,8675,8675
1445995800,8686,8686
1445996700,8678,8678
1445999400,8681,8681
1446000300,8672,8672
1446003000,8677,8677
1446003900,8677,8677
1446006600,8678,8678
1446007500,8644,8644
1446010200,8644,8644
1446011100,8623,8623
1446013800,8606,8606
1446014700,8581,8581
1446017400,8580,8580
1446018300,8539,8539
1446019200,8562,8562
1446021000,8563,8563
1446021900,8533,8533
1446024600,8530,8530
1446025500,8514,8514
1446028200,8520,8520
1446029100,8504,8504
1446031800,8502,8502
1446032700,8504,8504
1446035400,8496,8496
1446037200,8499,8499
1446039000,8490,8490
1446039900,8494,8494
1446042600,8501,8501
1446043500,8505,8505
1446046200,8500,8500
1446047100,8488,8488
1446048000,8504,8504
1446049800,8508,8508
1446050700,8507,8507
1446051600,8506,8506
1446053400,8502,8502
1446057000,8513,8513
1446057900,8519,8519
1446060600,8519,8519
1446061500,8514,8514
1446064200,8512,8512
1446065100,8519,8519
1446067800,8471,8471
1446068700,8480,8480
1446071400,8490,8490
1446072300,8501,8501
1446075000,8492,8492
1446075900,8497,8497
1446078600,8501,8501
1446079500,8503,8503
1446082200,8501,8501
1446083100,8521,8521
1446085800,8505,8505
1446086700,8516,8516
1446089400,8512,8512
1446090300,8516,8516
1446093000,8516,8516
1446093900,8532,8532
1446096600,8529,8529
1446097500,8536,8536
1446100200,8529,8529
1446101100,8536,8536
1446103800,8531,8531
1446104700,8544,8544
1446107400,8518,8518
1446108300,8522,8522
1446111000,8517,8517
1446111900,8525,8525
1446114600,8519,8519
1446115500,8534,8534
1446118200,8535,8535
1446119100,8536,8536
1446121800,8531,8531
1446122700,8512,8512
1446125400,8512,8512
1446126300,8500,8500
1446129000,8497,8497
1446129900,8548,8548
1446132600,8555,8555
1446133500,8525,8525
1446135300,8524,8524
1446136200,8530,8530
1446137100,8510,8510
1446139800,8516,8516
1446140700,8498,8498
1446143400,8503,8503
1446144300,8493,8493
1446147000,8493,8493
1446147900,8483,8483
1446150600,8479,8479
1446151500,8464,8464
1446152400,8463,8463
1446154200,8452,8452
1446155100,8422,8422
1446157800,8435,8435
1446158700,8400,8400
1446159600,8410,8410
1446161400,8424,8424
1446162300,8409,8409
1446167700,8386,8386
1446168600,8385,8385
1446169500,8364,8364
1446172200,8353,8353
1446173100,8331,8331
1446175800,8324,8324
1446176700,8312,8312
1446179400,8312,8312
1446180300,8303,8303
1446183000,8304,8304
1446183900,8286,8286
1446186600,8274,8274
1446187500,8252,8252
1446190200,8243,8243
1446191100,8214,8214
1446192000,8221,8221
1446193800,8217,8217
1446194700,8190,8190
1446197400,8194,8194
1446198300,8178,8178
1446201000,8170,8170
1446201900,8148,8148
1446204600,8164,8164
1446205500,8135,8135
1446208200,8144,8144
1446209100,8126,8126
1446211800,8133,8133
1446212700,8105,8105
1446215400,8103,8103
1446216300,8067,8067
1446219000,8081,8081
1446219900,8185,8185
1446220800,8194,8194
1446222600,8187,8187
1446223500,8228,8228
1446226200,8240,8240
1446227100,8204,8204
1446229800,8214,8214
1446230700,8185,8185
1446233400,8183,8183
1446234300,8149,8149
1446237000,8146,8146
1446237900,8110,8110
1446240600,8114,8114
1446241500,8090,8090
1446243300,8081,8081
1446244200,8094,8094
1446245100,8069,8069
1446246000,8070,8070
1446247800,8065,8065
1446248700,8032,8032
1446251400,8166,8166
1446252300,8133,8133
1446255000,8132,8132
1446255900,8100,8100
1446258600,8120,8120
1446259500,8098,8098
1446263100,8086,8086
1446265800,8093,8093
1446266700,8076,8076
1446267600,8085,8085
1446269400,8095,8095
1446274800,8061,8061
1446278400,8049,8049
1446281100,8029,8029
1446284700,8020,8020
1446287400,8015,8015
1446288300,7987,7987
1446291000,7989,7989
1446291900,7994,7994
1446294600,7990,7990
1446295500,7982,7982
1446298200,7976,7976
1446299100,7879,7879
1446301800,7889,7889
1446302700,7849,7849
1446305400,7842,7842
1446306300,7807,7807
1446309000,7801,7801
1446309900,7766,7766
1446313500,7731,7731
1446316200,7728,7728
1446317100,7690,7690
1446319800,7682,7682
1446320700,7654,7654
1446323400,7655,7655
1446324300,7632,7632
1446327000,7626,7626
1446327900,7592,7592
1446330600,7571,7571
1446331500,7529,7529
1446335100,7497,7497
1446337800,7491,7491
1446338700,7457,7457
1446342300,7423,7423
1446345000,7415,7415
1446345900,7370,7370
1446348600,7365,7365
1446349500,7323,7323
1446352200,7356,7356
1446353100,7360,7360
1446354000,7317,7317
1446355800,7320,7320
1446356700,7277,7277
1446359400,7270,7270
1446360300,7225,7225
1446363000,7239,7239
1446363900,7203,7203
1446366600,7194,7194
1446367500,7150,7150
1446368400,7156,7156
1446370200,7163,7163
1446371100,7125,7125
1446373800,7123,7123
1446374700,7099,7099
1446377400,7102,7102
1446378300,7066,7066
1446381000,7056,7056
1446381900,7055,7055
1446384600,7057,7057
1446385500,7074,7074
1446388200,7074,7074
1446389100,7058,7058
1446391800,7079,7079
1446392700,7106,7106
1446395400,7103,7103
1446396300,7112,7112
1446399000,7118,7118
1446399900,7123,7123
1446402600,7126,7126
1446403500,7155,7155
1446404400,7162,7162
1446406200,7164,7164
1446407100,7177,7177
1446409800,7167,7167
1446410700,7162,7162
1446413400,7166,7166
1446414300,7171,7171
1446417000,7168,7168
1446417900,7184,7184
1446420600,7193,7193
1446421500,7201,7201
1446424200,7207,7207
1446426000,7215,7215
1446427800,7210,7210
1446428700,7212,7212
1446437700,7237,7237
1446438600,7216,7216
1446439500,7212,7212
1446442200,7217,7217
1446443100,7227,7227
1446445800,7216,7216
1446446700,7223,7223
1446449400,7230,7230
1446450300,7251,7251
1446453000,7250,7250
1446453900,7257,7257
1446454800,7260,7260
1446456600,7245,7245
1446457500,7253,7253
1446460200,7248,7248
1446461100,7247,7247
1446463800,7251,7251
1446464700,7263,7263
1446467400,7262,7262
1446468300,7267,7267
1446471000,7272,7272
1446471900,7276,7276
1446474600,7273,7273
1446475500,7281,7281
1446478200,7294,7294
1446479100,7270,7270
1446481800,7277,7277
1446482700,7261,7261
1446485400,7282,7282
1446486300,7291,7291
1446489000,7299,7299
1446489900,7302,7302
1446492600,7315,7315
1446493500,7316,7316
1446496200,7314,7314
1446497100,7322,7322
1446499800,7334,7334
1446500700,7340,7340
1446504300,7332,7332
1446507000,7334,7334
1446507900,7336,7336
1446510600,7332,7332
1446511500,7345,7345
1446514200,7346,7346
1446515100,7359,7359
1446517800,7365,7365
1446518700,7369,7369
1446521400,7387,7387
1446522300,7395,7395
1446525000,7375,7375
1446525900,7394,7394
1446528600,7397,7397
1446529500,7412,7412
1446532200,7414,7414
1446533100,7410,7410
1446534000,7424,7424
1446535800,7423,7423
1446536700,7442,7442
1446539400,7446,7446
1446540300,7449,7449
1446543000,7435,7435
