DateTime,Entries,UniqueIPs
1445385801,1065,1065
1445389337,1066,1066
1445392998,1067,1067
1445395868,1065,1065
1445400213,1065,1065
1445403796,1063,1063
1445406177,1064,1064
1445409150,1062,1062
1445414594,1057,1057
1445416915,1053,1053
1445418192,1051,1051
1445421792,1053,1053
1445425391,1057,1057
1445427712,1060,1060
1445432589,1056,1056
1445436191,1059,1059
1445439788,1060,1060
1445443386,1061,1061
1445447046,1060,1060
1445450584,1066,1066
1445454183,1067,1067
1445456565,1067,1067
1445461381,1065,1065
1445464981,1066,1066
1445467301,1064,1064
1445472179,1064,1064
1445475781,1068,1068
1445479437,1064,1064
1445482979,1069,1069
1445485908,1071,1071
1445486575,1069,1069
1445490175,1071,1071
1445493837,1069,1069
1445495576,1067,1067
1445497374,1064,1064
1445500973,1066,1066
1445502562,1067,1067
1445508234,1068,1068
1445510797,1070,1070
1445536965,1061,1061
1445539348,1066,1066
1445540563,1062,1062
1445544164,1066,1066
1445547825,1060,1060
1445550204,1068,1068
1445551361,1067,1067
1445555021,1068,1068
1445558563,1059,1059
1445561002,1062,1062
1445562220,1059,1059
1445565818,1060,1060
1445569360,1057,1057
1445571800,1062,1062
1445572957,1060,1060
1445576617,1059,1059
1445580155,1059,1059
1445582034,1062,1062
1445583754,1056,1056
1445587355,1062,1062
1445589737,1060,1060
1445590954,1057,1057
1445594612,1061,1061
1445598151,1049,1049
1445605409,1052,1052
1445609070,1055,1055
1445612608,1060,1060
1445616147,1063,1063
1445619138,1067,1067
1445623406,1072,1072
1445627003,1075,1075
1445629933,1069,1069
1445630541,1062,1062
1445634202,1062,1062
1445637739,1066,1066
1445640674,1065,1065
1445641402,1063,1063
1445645001,1067,1067
1445648600,1060,1060
1445652199,1063,1063
1445655797,1062,1062
1445659396,1060,1060
1445662025,1059,1059
1445666535,1059,1059
1445668673,1061,1061
1445670194,1062,1062
1445673794,1058,1058
1445676237,1061,1061
1445680991,1062,1062
1445684589,1062,1062
1445686972,1065,1065
1445691787,1059,1059
1445695388,1061,1061
1445697772,1062,1062
1445698986,1061,1061
1445702592,1062,1062
1445706184,1056,1056
1445708626,1060,1060
1445710272,1056,1056
1445713383,1057,1057
1445716374,1061,1061
1445716982,1055,1055
1445720580,1054,1054
1445724181,1053,1053
1445726869,1058,1058
1445727780,1056,1056
1445731378,1055,1055
1445738577,1054,1054
1445742239,1047,1047
1445745776,1051,1051
1445748220,1052,1052
1445752975,1052,1052
1445755114,1048,1048
1445756572,1043,1043
1445760174,1047,1047
1445762679,1047,1047
1445767371,1044,1044
1445770971,1045,1045
1445773412,1048,1048
1445778170,1047,1047
1445781832,1049,1049
1445784217,1046,1046
1445788971,1045,1045
1445795015,1050,1050
1445799767,1045,1045
1445803367,1048,1048
1445805875,1048,1048
1445810628,1047,1047
1445814164,1049,1049
1445816608,1052,1052
1445817763,1046,1046
1445824964,1051,1051
1445832160,1051,1051
1445835760,1051,1051
1445838203,1052,1052
1445839419,1049,1049
1445842236,1052,1052
1445846680,1051,1051
1445849186,1049,1049
1445853756,1047,1047
1445857415,1050,1050
1445860410,1051,1051
1445861015,1049,1049
1445864554,1052,1052
1445868152,1051,1051
1445871205,1052,1052
1445875349,1048,1048
1445879008,1052,1052
1445881941,1051,1051
1445886207,1058,1058
1445889807,1058,1058
1445892252,1056,1056
1445896945,1057,1057
1445900605,1064,1064
1445903047,1061,1061
1445904142,1057,1057
1445907742,1061,1061
1445911340,1063,1063
1445913847,1066,1066
1445918602,1060,1060
1445922142,1063,1063
1445924645,1065,1065
1445925802,1060,1060
1445928099,1063,1063
1445929402,1062,1062
1445933001,1057,1057
1445936053,1060,1060
1445940198,1059,1059
1445943798,1056,1056
1445946242,1058,1058
1445950995,1057,1057
1445954294,1057,1057
1445958194,1056,1056
1445961794,1058,1058
1445965395,1062,1062
1445968929,1062,1062
1445972528,1059,1059
1445976194,1060,1060
1445979788,1059,1059
1445983389,1058,1058
1445990588,1063,1063
1445994186,1065,1065
1445997237,1063,1063
1445997784,1059,1059
1446001385,1063,1063
1446004983,1060,1060
1446008097,1063,1063
1446012197,1063,1063
1446014183,1062,1062
1446019380,1063,1063
1446021943,1063,1063
1446026639,1059,1059
1446030177,1063,1063
1446033835,1061,1061
1446037435,1060,1060
1446039879,1066,1066
1446044571,1057,1057
1446048177,1060,1060
1446051770,1062,1062
