DateTime,Entries,UniqueIPs
1445409150,979,979
1445410993,975,975
1445414594,975,975
1445416915,976,976
1445421792,975,975
1445425391,978,978
1445427712,979,979
1445428998,976,976
1445432589,976,976
1445436191,975,975
1445439788,974,974
1445443386,973,973
1445447046,972,972
1445450584,975,975
1445454183,974,974
1445456565,973,973
1445461381,974,974
1445464981,976,976
1445467301,978,978
1445472179,975,975
1445475781,971,971
1445479437,973,973
1445482979,977,977
1445485908,976,976
1445490175,976,976
1445493837,974,974
1445495576,975,975
1445500973,974,974
1445502562,972,972
1445504633,971,971
1445508234,971,971
1445510797,972,972
1445536965,970,970
1445539348,974,974
1445544164,970,970
1445547825,969,969
1445550204,973,973
1445555021,970,970
1445558563,970,970
1445561002,965,965
1445562220,964,964
1445565818,968,968
1445569360,970,970
1445571800,969,969
1445576617,970,970
1445580155,969,969
1445582034,971,971
1445587355,970,970
1445589737,970,970
1445594612,967,967
1445598151,968,968
1445600534,968,968
1445605409,966,966
1445609070,967,967
1445612608,970,970
1445616147,973,973
1445619138,974,974
1445619806,972,972
1445623406,971,971
1445627003,972,972
1445629933,973,973
1445634202,969,969
1445637739,971,971
1445640674,972,972
1445645001,974,974
1445648600,975,975
1445652199,974,974
1445655797,973,973
1445659396,974,974
1445662025,976,976
1445666535,977,977
1445668673,977,977
1445670194,975,975
1445673794,970,970
1445676237,970,970
1445677391,969,969
1445680991,971,971
1445684589,972,972
1445686972,974,974
1445688188,973,973
1445691787,972,972
1445695388,973,973
1445697772,971,971
1445702592,973,973
1445706184,976,976
1445708626,977,977
1445710272,976,976
1445713383,978,978
1445716374,977,977
1445716982,975,975
1445720580,975,975
1445724181,972,972
1445726869,975,975
1445731378,975,975
1445738577,974,974
1445742239,972,972
1445745776,973,973
1445748220,974,974
1445752975,974,974
1445755114,973,973
1445760174,972,972
1445762679,972,972
1445767371,976,976
1445770971,976,976
1445773412,976,976
1445778170,974,974
1445781832,972,972
1445784217,974,974
1445788971,972,972
1445795015,974,974
1445799767,972,972
1445803367,971,971
1445805875,969,969
1445810628,971,971
1445814164,970,970
1445816608,966,966
1445821362,965,965
1445824964,970,970
1445827405,973,973
1445832160,976,976
1445835760,974,974
1445838203,975,975
1445839419,974,974
1445842236,973,973
1445843018,972,972
1445846680,970,970
1445849186,971,971
1445850217,970,970
1445853756,971,971
1445857415,969,969
1445860410,971,971
1445864554,970,970
1445868152,970,970
1445871205,969,969
1445875349,972,972
1445879008,973,973
1445881941,975,975
1445886207,983,983
1445889807,986,986
1445892252,986,986
1445893406,985,985
1445896945,986,986
1445900605,988,988
1445903047,988,988
1445907742,991,991
1445911340,990,990
1445913847,988,988
1445918602,984,984
1445922142,984,984
1445924645,986,986
1445928099,984,984
1445933001,982,982
1445936053,983,983
1445940198,980,980
1445943798,980,980
1445946242,978,978
1445950995,977,977
1445954294,978,978
1445958194,976,976
1445961794,974,974
1445965395,975,975
1445968929,977,977
1445972528,978,978
1445976194,978,978
1445979788,978,978
1445983389,978,978
1445986988,977,977
1445990588,979,979
1445994186,981,981
1445997237,981,981
1446001385,984,984
1446004983,981,981
1446008097,982,982
1446008581,980,980
1446012197,981,981
1446014183,977,977
1446015781,978,978
1446019380,975,975
1446021943,978,978
1446026639,975,975
1446030177,978,978
1446033835,979,979
1446037435,980,980
1446039879,982,982
1446041034,981,981
1446044571,981,981
1446048177,985,985
1446051770,984,984
1446055368,984,984
1446058973,983,983
1446062567,984,984
1446066165,987,987
1446069767,987,987
1446073363,989,989
1446076962,990,990
1446080627,984,984
1446084223,985,985
1446087820,980,980
1446091181,980,980
1446094958,978,978
1446098556,977,977
1446100556,976,976
1446105756,976,976
1446108262,972,972
1446109416,970,970
1446113015,971,971
1446116070,971,971
1446120214,971,971
1446123812,973,973
1446126986,971,971
1446131010,972,972
1446134548,976,976
1446137117,974,974
1446141807,970,970
1446145411,971,971
1446149069,969,969
1446152544,972,972
1446155719,970,970
1446159743,969,969
1446167004,961,961
1446170605,961,961
1446174141,959,959
1446177374,954,954
1446181339,957,957
1446184938,955,955
1446186876,954,954
1446188597,953,953
1446192135,951,951
1446194698,952,952
1446199334,952,952
1446202993,952,952
1446203609,956,956
1446206592,957,957
1446210192,958,958
1446213789,962,962
1446217391,960,960
1446221079,962,962
1446224102,962,962
1446228205,962,962
1446231786,961,961
1446234962,960,960
1446238984,958,958
1446242583,961,961
1446245150,1021,1021
1446249781,1096,1096
1446253381,1098,1098
1446255946,1098,1098
1446260579,1100,1100
1446264178,1100,1100
1446266804,1095,1095
1446267777,1094,1094
1446274974,1098,1098
1446278573,1096,1096
1446281139,1097,1097
1446285771,1096,1096
1446289375,1095,1095
1446292969,1097,1097
1446296628,1097,1097
1446299744,1096,1096
1446300300,1095,1095
1446303766,1099,1099
1446307365,1101,1101
1446310545,1102,1102
1446311027,1100,1100
1446314599,1102,1102
1446318167,1105,1105
1446320791,1111,1111
1446325362,1111,1111
1446328961,1111,1111
1446331528,1110,1110
1446336159,1111,1111
1446339761,1109,1109
1446342326,1109,1109
1446346958,1140,1140
1446350559,1137,1137
1446353247,1138,1138
1446357756,1139,1139
1446359679,1138,1138
1446361415,1140,1140
1446365080,1139,1139
1446368556,1142,1142
1446372155,1137,1137
1446375453,1140,1140
1446375886,1139,1139
1446379352,1136,1136
1446383013,1135,1135
1446385579,1133,1133
1446390211,1131,1131
1446393875,1135,1135
1446397350,1137,1137
1446400949,1136,1136
1446404186,1139,1139
1446408268,1137,1137
1446411806,1141,1141
1446414376,1145,1145
1446415467,1144,1144
1446419004,1143,1143
1446422608,1140,1140
1446426142,1145,1145
1446429802,1150,1150
1446436999,1139,1139
1446440598,1149,1149
1446444140,1149,1149
1446446043,1150,1150
1446451397,1151,1151
1446454023,1150,1150
1446454995,1149,1149
1446458596,1149,1149
1446462195,1149,1149
1446464823,1149,1149
1446465792,1147,1147
1446469394,1149,1149
1446472994,1143,1143
1446473730,1146,1146
1446476590,1147,1147
1446480429,1132,1132
1446483430,1127,1127
1446483789,1124,1124
1446487391,1118,1118
1446491052,1107,1107
1446493619,1107,1107
1446498128,1097,1097
1446501788,1089,1089
1446504477,1083,1083
1446505449,1073,1073
1446508926,1074,1074
1446512586,1057,1057
1446516186,1060,1060
1446519723,1044,1044
1446523023,1033,1033
1446526982,1030,1030
1446530643,1015,1015
1446532435,1012,1012
1446534179,1008,1008
1446537843,1004,1004
1446541379,1005,1005
1446544979,1005,1005
1446548587,1006,1006
1446552176,1004,1004
1446555776,1002,1002
1446559378,1005,1005
1446562974,1005,1005
1446566571,1003,1003
1446569873,1004,1004
1446573771,1001,1001
1446577435,995,995
1446580304,992,992
1446581029,991,991
1446584628,990,990
1446588175,993,993
1446591766,998,998
1446595426,997,997
1446598666,997,997
1446602562,996,996
1446606224,995,995
1446609761,999,999
1446613423,998,998
1446616962,1001,1001
1446619011,1001,1001
1446624163,996,996
1446626909,995,995
1446631358,997,997
1446634960,998,998
1446638557,996,996
1446642156,985,985
1446645828,985,985
1446649414,986,986
1446652954,989,989
1446656310,989,989
1446667408,994,994
1446671009,993,993
1446674609,994,994
1446677297,994,994
1446678208,993,993
1446681808,992,992
1446685405,991,991
1446688035,993,993
1446692605,994,994
1446696141,994,994
1446698828,993,993
1446703400,988,988
1446705369,988,988
1446710600,988,988
1446713230,992,992
1446717738,993,993
1446721341,994,994
1446724148,995,995
1446728535,995,995
1446732195,997,997
1446734889,996,996
1446739395,992,992
1446742999,992,992
1446746592,991,991
1446750192,990,990
1446753553,989,989
1446757391,989,989
1446760990,991,991
1446764285,992,992
1446768187,987,987
1446771785,989,989
1446775089,991,991
1446775446,989,989
1446778984,990,990
1446782587,985,985
1446785334,983,983
1446786183,979,979
1446789784,981,981
1446791964,978,978
1446796981,979,979
1446799673,977,977
1446804180,976,976
1446807780,976,976
1446811444,977,977
1446814981,976,976
1446818404,980,980
1446818639,979,979
1446822175,980,980
1446825774,980,980
1446829378,979,979
1446832973,979,979
1446836633,981,981
1446839996,981,981
1446843769,984,984
1446847367,984,984
1446850734,983,983
1446854566,986,986
1446858168,989,989
1446861527,989,989
1446865366,988,988
1446868966,987,987
1446872392,986,986
1446876225,986,986
1446878822,986,986
1446879824,985,985
1446883364,988,988
1446887028,985,985
1446890684,981,981
1446894162,985,985
1446897035,985,985
1446901360,985,985
1446904962,985,985
1446908320,986,986
1446912158,986,986
1446915819,983,983
1446919118,983,983
1446919418,981,981
1446923016,985,985
1446926553,983,983
1446929304,981,981
1446930213,979,979
1446933752,980,980
1446937360,980,980
1446940951,978,978
1446944613,977,977
1446948214,980,980
1446955413,976,976
1446958954,978,978
1446962550,974,974
1446964819,975,975
1446969749,974,974
1446972562,975,975
1446977008,974,974
1446980608,972,972
1446983421,977,977
1446984204,975,975
1446987743,975,975
1446991403,974,974
1446994157,975,975
1446995065,974,974
1446998602,975,975
1447002146,976,976
1447005799,973,973
1447009399,974,974
1447012578,974,974
1447016596,975,975
1447020196,975,975
1447023556,975,975
1447027394,977,977
1447030992,979,979
1447033807,979,979
1447038190,978,978
1447041791,982,982
1447045209,985,985
1447045389,983,983
1447048988,985,985
1447051097,987,987
1447056187,981,981
1447057234,985,985
1447063446,981,981
1447066198,978,978
1447070584,980,980
1447074182,981,981
1447077540,986,986
1447081443,987,987
1447084977,986,986
1447087791,986,986
1447092178,988,988
1447095785,988,988
1447099379,988,988
1447102978,989,989
