DateTime,Entries,UniqueIPs
1445090821,8,8
1445094422,5,5
1445098021,3,3
1445105221,4,4
1445108822,5,5
1445119622,4,4
1445126822,5,5
1445130422,4,4
1445141221,3,3
1445184422,4,4
1445191621,3,3
1445195222,2,2
1445213222,2,2
1445244422,8,8
1445248323,9,9
1445251923,11,11
1445255523,14,14
1445259124,24,24
1445262723,29,29
1445266622,31,31
1445270222,32,32
1445273822,35,35
1445284622,36,36
1445295422,37,37
1445299022,36,36
1445314022,38,38
1445317621,39,39
1445321222,40,40
1445324823,42,42
1445328422,43,43
1445332022,42,42
1445335622,40,40
1445339222,39,39
1445342822,37,37
1445346421,29,29
1445350022,27,27
1445353621,25,25
1445357221,22,22
1445360822,20,20
1445368021,22,22
1445371621,21,21
1445375222,22,22
1445382422,22,22
1445386022,22,22
1445390222,26,26
1445393821,27,27
1445401022,25,25
1445404622,26,26
1445408222,25,25
1445411821,20,20
1445415421,21,21
1445419021,23,23
1445422622,22,22
1445426222,21,21
1445429822,22,22
1445433422,20,20
1445437022,19,19
1445440622,21,21
1445447822,22,22
1445451422,23,23
1445455022,24,24
1445458622,25,25
1445462222,24,24
1445469422,25,25
1445473022,26,26
1445476622,22,22
1445480221,21,21
1445483822,22,22
1445487422,23,23
1445491021,25,25
1445494622,25,25
1445501822,24,24
1445505421,23,23
1445509021,28,28
1445537821,26,26
1445541422,25,25
1445545022,24,24
1445555822,24,24
1445563021,26,26
1445566923,25,25
1445570822,24,24
1445575022,23,23
1445578924,21,21
1445582524,19,19
1445586124,18,18
1445589723,17,17
1445593323,15,15
1445596923,14,14
1445600523,16,16
1445604123,14,14
1445607723,14,14
1445615221,14,14
1445619123,12,12
1445629923,11,11
1445633523,12,12
1445647923,9,9
1445656021,8,8
1445659621,9,9
1445663222,10,10
1445677622,11,11
1445684822,10,10
1445688421,8,8
1445692022,5,5
1445702822,4,4
1445721422,4,4
1445733421,5,5
1445741523,6,6
1445748724,5,5
1445752323,4,4
1445770324,3,3
1445773923,4,4
1445788323,6,6
1445812923,5,5
1445816523,6,6
1445820123,7,7
1445823724,8,8
1445838724,9,9
1445842323,11,11
1445845923,14,14
1445849524,15,15
1445853124,16,16
1445856723,17,17
1445860324,18,18
1445863923,19,19
1445867524,24,24
1445871123,26,26
1445874723,23,23
1445878323,24,24
1445885524,25,25
1445903524,24,24
1445907123,23,23
1445910724,22,22
1445917924,23,23
1445928723,23,23
1445932323,21,21
1445935923,21,21
1445939524,22,22
1445943123,22,22
1445946724,22,22
1445950323,20,20
1445953924,17,17
1445957524,15,15
1445964723,14,14
1445971923,14,14
1445975523,16,16
1445987822,15,15
1445991422,16,16
1445995022,17,17
1446002221,18,18
1446005822,18,18
1446013021,18,18
1446016622,16,16
1446020222,17,17
1446023821,18,18
1446027422,19,19
1446031021,17,17
1446034621,18,18
1446038222,21,21
1446041822,44,44
1446045422,47,47
1446049622,52,52
1446061323,51,51
1446064923,52,52
1446072123,51,51
1446075723,50,50
1446082924,50,50
1446086524,51,51
1446090422,52,52
1446094324,53,53
1446097923,52,52
1446101523,52,52
1446105123,50,50
1446108724,49,49
1446112324,47,47
1446115923,48,48
1446123124,45,45
1446126724,34,34
1446130324,18,18
1446133924,16,16
1446137524,19,19
1446144723,19,19
1446148323,20,20
1446151923,20,20
1446155524,20,20
1446167822,21,21
1446171422,23,23
1446178622,20,20
1446185822,19,19
1446196622,22,22
1446200222,21,21
1446207421,22,22
1446221822,18,18
1446225421,15,15
1446232622,14,14
1446236222,13,13
1446239822,11,11
1446254222,9,9
1446257822,8,8
1446266222,7,7
1446284523,3,3
1446291724,3,3
1446302821,2,2
1446324723,3,3
1446344222,2,2
1446362221,3,3
1446380222,4,4
1446398222,4,4
1446416523,5,5
1446424022,6,6
1446427923,8,8
1446441421,10,10
1446445021,12,12
1446448621,11,11
1446452222,13,13
1446459422,14,14
1446463022,16,16
1446466622,21,21
1446470822,25,25
1446478324,32,32
1446481923,33,33
1446485523,35,35
1446489123,36,36
1446492723,37,37
1446496323,37,37
1446500222,38,38
1446504421,37,37
1446513422,36,36
1446527822,34,34
1446531421,32,32
1446535022,33,33
1446538622,32,32
1446545822,33,33
1446549422,30,30
1446553022,26,26
1446556622,28,28
1446560222,27,27
1446563821,20,20
1446567421,18,18
1446571022,19,19
1446574621,18,18
1446578222,15,15
1446585422,17,17
1446589022,19,19
1446596821,20,20
1446604323,21,21
1446612124,22,22
1446619323,23,23
1446622924,22,22
1446630123,26,26
1446633723,25,25
1446637324,25,25
1446640923,22,22
1446644523,21,21
1446648123,22,22
1446651724,24,24
1446668221,26,26
1446673923,24,24
1446677821,23,23
1446681422,22,22
1446685324,22,22
1446689222,21,21
1446696422,23,23
1446700022,23,23
1446703622,24,24
1446707222,23,23
1446714421,25,25
1446718022,24,24
1446721622,26,26
1446725222,26,26
1446728822,30,30
1446732422,30,30
1446736022,29,29
1446739622,28,28
1446743222,32,32
1446746822,31,31
1446750422,33,33
1446754021,31,31
1446764822,32,32
1446772022,31,31
1446779221,31,31
1446782822,30,30
1446786422,29,29
1446790021,28,28
1446793621,28,28
1446797222,33,33
1446800822,30,30
1446804422,29,29
1446808021,28,28
1446811622,27,27
1446815222,23,23
1446818822,21,21
1446824523,23,23
1446828421,23,23
1446832022,22,22
1446835923,22,22
1446839523,22,22
1446844021,21,21
1446847622,22,22
1446860222,23,23
1446863822,22,22
1446871924,22,22
1446882723,18,18
1446886324,15,15
1446889923,14,14
1446893523,13,13
1446897124,12,12
1446907923,11,11
1446911524,11,11
1446915123,8,8
1446922323,6,6
1446933124,6,6
1446947523,5,5
1446976621,4,4
1446980222,5,5
1446994622,4,4
1446998524,3,3
1447009621,4,4
1447016822,4,4
1447024022,7,7
1447027622,8,8
1447031222,9,9
1447042022,11,11
1447049222,13,13
1447052822,14,14
1447056422,16,16
1447060022,18,18
1447063622,19,19
1447067221,20,20
1447070821,21,21
1447074422,25,25
1447078022,28,28
1447081621,29,29
1447085221,30,30
1447090021,31,31
1447093923,32,32
1447097524,32,32
