DateTime,AddedIPs,RemovedIPs
1440379759,1,1
1440423392,1,2
1440510868,3,1
1440598710,5,0
1440642495,0,0
1440686197,1,0
1440773671,2,1
1440949529,5,3
1440994225,1,1
1441037902,1,1
1441300712,1,0
1441737932,3,3
1441825789,2,2
1441913261,1,1
1442134461,1,18
1442222376,1,1
1442266097,1,0
1442309800,3,5
1442353653,2,1
1442397634,0,1
1442485143,1,1
1442528882,2,1
1442572605,0,1
1442835464,1,0
1442922865,1,0
1442966991,4,0
1443098266,2,0
1443141948,13,13
1443229805,1,1
1443273546,0,1
1443317267,0,1
1443361029,1,1
1443448537,2,5
1443536334,1,1
1443623812,1,2
1443711340,8,2
1443799686,1,0
1443843403,1,0
1443887212,1,0
1444149952,3,0
1444237794,4,0
1444281524,1,0
1444325871,4,1
1444413270,2,2
1444676078,2,1
1444763948,1,0
1444938882,0,1
1445026712,3,2
1445158553,1,4
1445203684,3,2
1445291165,6,2
1445334929,4,5
1445378997,3,2
1445466473,4,1
1445510274,2,2
1445597686,1,2
1445641803,3,3
1445817281,1,1
1445861413,1,0
1445905119,2,1
1445948891,1,1
1445992602,2,3
1446037406,4,3
1446081509,2,9
1446125280,3,9
1446168986,3,3
1446213350,8,5
1446257270,1,1
1446301115,0,1
1446344861,3,0
1446388588,0,0
1446579500,1,0
1446755844,0,1
1446844227,2,3
1446887959,0,0
1446975410,0,0
1447084852,5,4
1447129149,3,12
1447172847,1,0
1447348174,3,13
1447435670,3,1
1447523726,1,0
1447722040,4,7
1447809533,1,1
1447897006,2,2
