DateTime,Entries,UniqueIPs
1443961982,510,510
1443969181,509,509
1443976381,507,507
1443979982,506,506
1443983581,508,508
1443987182,507,507
1444001581,511,511
1444030381,510,510
1444037582,509,509
1444041182,508,508
1444044781,509,509
1444048381,508,508
1444051982,509,509
1444062782,510,510
1444066382,509,509
1444069981,508,508
1444073582,512,512
1444084382,508,508
1444087982,512,512
1444095181,510,510
1444102382,507,507
1444105982,509,509
1444109582,508,508
1444113182,509,509
1444131181,511,511
1444145582,510,510
1444149182,511,511
1444156381,511,511
1444159982,510,510
1444167181,508,508
1444174382,511,511
1444181582,512,512
1444188782,513,513
1444192381,511,511
1444203181,511,511
1444210382,509,509
1444213982,512,512
1444221182,512,512
1444224781,511,511
1444231981,512,512
1444239181,516,516
1444257182,515,515
1444264382,514,514
1444278781,513,513
1444296781,511,511
1444303982,512,512
1444307581,510,510
1444321981,510,510
1444329181,511,511
1444332781,509,509
1444336382,510,510
1444343582,509,509
1444350781,508,508
1444357982,507,507
1444368781,506,506
1444372382,507,507
1444383183,507,507
1444386782,506,506
1444397582,505,505
1444404781,507,507
1444408381,505,505
1444411982,506,506
1444415582,505,505
1444419181,506,506
1444426382,507,507
1444444382,506,506
1444447982,507,507
1444455181,504,504
1444458782,506,506
1444465982,506,506
1444494781,508,508
1444516381,509,509
1444523582,511,511
1444527181,509,509
1444530782,510,510
1444537982,511,511
1444555982,510,510
1444563182,511,511
1444570381,510,510
1444577582,511,511
1444584782,511,511
1444591981,511,511
1444599182,512,512
1444613582,510,510
1444617182,509,509
1444620782,510,510
1444624382,507,507
1444627982,514,514
1444631582,513,513
1444642382,514,514
1444653181,513,513
1444667582,512,512
1444671182,515,515
1444681981,515,515
1444689181,513,513
1444696382,515,515
1444710782,522,522
1444714382,521,521
1444717982,522,522
1444725182,521,521
1444728781,523,523
1444732382,522,522
1444735981,524,524
1444753982,523,523
1444761181,521,521
1444768381,521,521
1444775582,519,519
1444779182,518,518
1444789981,518,518
1444797182,518,518
1444800782,516,516
1444804381,517,517
1444815182,516,516
1444822381,522,522
1444840382,521,521
1444847582,523,523
1444854782,522,522
1444872781,519,519
1444894382,518,518
1444905182,520,520
1444912382,521,521
1444919581,520,520
1444930381,525,525
1444941182,527,527
1444944781,528,528
1444948382,526,526
1444962781,525,525
1444977181,527,527
1444980781,526,526
1444984382,527,527
1444995181,527,527
1445005981,525,525
1445013181,526,526
1445016781,523,523
1445020381,525,525
1445031181,522,522
1445038382,521,521
1445041981,522,522
1445052782,521,521
1445056381,522,522
1445067182,524,524
1445092382,521,521
1445103181,526,526
1445110382,526,526
1445117582,526,526
1445124781,527,527
1445128381,526,526
1445131981,528,528
1445139182,529,529
1445146382,530,530
1445149981,527,527
1445164382,532,532
1445167981,531,531
1445175182,532,532
1445182381,533,533
1445189582,532,532
1445193182,538,538
1445196781,537,537
1445200382,540,540
1445214781,541,541
1445225582,543,543
1445243582,542,542
1445250781,543,543
1445268782,542,542
1445275981,550,550
1445283182,552,552
1445290382,554,554
1445293981,553,553
