DateTime,AddedIPs,RemovedIPs
1443771181,9,7
1443781981,9,9
1443792782,11,12
1443803581,10,9
1443814382,14,17
1443825181,11,12
1443835982,7,5
1443843182,13,12
1443853982,9,9
1443864783,11,11
1443871982,10,11
1443882781,10,10
1443893582,11,8
1443904382,8,12
1443915182,7,9
1443922381,11,8
1443929581,8,11
1443940382,7,7
1443947582,11,11
1443958382,5,5
1443965581,11,10
1443976381,6,9
1443983581,8,7
1443994382,6,6
1444001581,15,13
1444012382,3,6
1444019581,6,4
1444026782,10,9
1444037582,7,4
1444044781,10,11
1444051982,10,10
1444062782,10,11
1444073582,11,15
1444080782,11,12
1444087982,11,9
1444095181,9,7
1444105982,11,8
1444113182,9,11
1444120381,10,11
1444131181,7,8
1444138381,7,9
1444149182,15,14
1444156381,15,12
1444167181,7,9
1444174382,12,10
1444181582,8,9
1444188782,11,12
1444195982,9,11
1444203181,10,8
1444213982,11,11
1444221182,11,12
1444231981,7,10
1444239181,16,17
1444246381,9,6
1444257182,6,5
1444264382,10,8
1444271582,8,9
1444278781,9,11
1444285981,6,4
1444296781,11,10
1444303982,15,17
1444311182,8,6
1444321981,6,9
1444329181,11,9
1444336382,10,11
1444343582,13,13
1444350781,3,5
1444357982,8,7
1444365181,8,7
1444372382,11,9
1444383183,11,11
1444390382,10,10
1444397582,12,11
1444404781,18,16
1444411982,8,11
1444419181,8,9
1444426382,6,7
1444433582,6,5
1444440782,9,10
1444447982,8,8
1444458782,8,7
1444465982,13,9
1444473181,9,10
1444480382,9,12
1444487581,5,8
1444494781,11,12
1444501982,13,14
1444509182,7,7
1444516381,5,6
1444523582,12,11
1444530782,7,7
1444537982,5,5
1444545182,13,11
1444555982,10,10
1444563182,6,7
1444570381,3,2
1444577582,11,9
1444584782,11,12
1444591981,6,8
1444599182,7,7
1444606382,10,9
1444613582,6,5
1444620782,10,7
1444627982,16,16
1444635181,11,14
1444642382,7,9
1444649582,11,12
1444656782,12,9
1444663982,12,12
1444671182,9,8
1444681981,9,11
1444689181,13,13
1444696382,10,9
1444703582,8,7
1444710782,11,12
1444717982,9,9
1444728781,12,11
1444735981,10,13
1444746782,12,10
1444761181,7,6
1444768381,14,14
1444775582,8,7
1444782781,6,6
1444789981,12,12
1444797182,7,6
1444804381,13,12
1444815182,14,11
1444822381,9,13
1444829581,12,13
1444840382,4,8
1444847582,8,9
1444854782,7,6
1444861981,9,8
1444869182,9,7
1444876382,9,7
1444887182,10,10
1444894382,12,8
1444905182,9,11
1444912382,16,16
1444923182,8,13
1444930381,13,13
1444941182,14,14
1444944781,13,12
1444951981,12,12
1444959181,8,7
1444966381,5,6
1444977181,14,12
1444984382,11,11
1444995181,11,14
1445002382,11,8
1445013181,8,12
1445020381,7,8
1445027582,4,5
1445034782,5,5
1445041981,8,7
1445049181,8,6
1445056381,7,6
1445067182,11,13
1445074382,8,9
1445085182,10,11
1445092382,11,15
1445103181,13,10
1445110382,9,8
1445117582,12,11
1445124781,9,8
1445131981,6,3
1445139182,8,11
1445146382,14,12
1445157182,7,8
1445164382,13,12
1445175182,10,10
1445182381,11,14
1445193182,14,13
1445200382,14,13
1445207582,5,5
1445214781,6,6
1445225582,16,12
1445243582,13,15
1445250781,10,11
1445257981,10,14
1445268782,12,9
1445275981,12,11
1445283182,11,11
1445290382,7,6
1445297581,8,10
1445304782,10,8
1445311982,10,11
1445322782,6,6
1445333584,13,14
1445340781,8,8
1445347981,12,11
1445358781,13,13
1445365982,6,9
1445373181,6,6
1445380382,10,8
1445387581,7,8
1445394781,8,8
1445405582,14,13
1445412781,9,11
1445423582,6,7
1445430782,6,6
1445441581,18,15
1445448781,11,15
1445459582,8,10
1445466781,12,11
1445473981,13,13
1445481182,16,13
1445488382,9,7
1445499182,7,5
1445506381,15,13
1445536836,23,30
1445545981,9,9
1445553182,10,9
1445560381,9,8
1445567582,9,7
1445574781,10,11
1445581981,9,9
1445592782,13,10
1445599981,12,11
1445610782,11,11
1445617981,12,14
1445625181,10,8
1445632382,10,11
1445639581,11,13
1445646781,12,11
1445653982,8,8
1445664781,10,12
1445671981,9,9
1445682782,13,13
1445689981,7,10
1445700781,10,9
1445707981,10,9
1445715181,7,7
1445722382,9,11
1445729581,8,7
1445734842,7,7
1445743981,5,6
1445751182,12,9
1445758382,13,13
1445769182,7,7
1445776381,13,12
1445787181,8,11
1445794382,13,11
1445801582,7,8
1445808781,13,9
1445815981,6,10
1445823181,11,9
1445830381,9,8
1445837581,13,12
1445848382,12,14
1445855581,12,11
1445866381,13,14
1445873581,10,15
1445880782,15,12
1445887981,5,7
1445895181,6,7
1445902382,7,6
1445909582,7,7
1445916782,6,5
1445923982,11,9
1445931182,12,10
1445941982,10,10
1445949182,9,10
1445956382,8,9
1445967182,13,14
1445970781,11,9
1445977981,9,10
1445985181,8,9
1445992382,7,6
1445999582,7,9
1446010381,16,12
1446017581,8,9
1446028381,11,10
1446035582,15,16
1446046382,14,14
1446053581,11,11
1446060781,8,7
1446071582,10,10
1446075182,7,6
1446082381,14,14
1446089581,11,9
1446100381,7,9
1446107582,12,11
1446118382,10,9
1446125581,7,11
1446136382,11,13
1446143582,9,10
1446150781,4,3
1446157982,5,7
1446165181,14,10
1446172382,10,9
1446183182,16,13
1446190382,9,10
1446201181,12,15
1446211982,16,14
1446219182,14,15
1446226381,12,15
1446233582,7,8
1446240781,8,11
1446251581,12,12
1446258781,8,7
1446265982,13,10
1446273182,12,10
1446280844,10,9
1446291181,17,17
1446298382,12,14
1446305581,10,11
1446312782,12,12
1446319982,11,10
1446330782,15,16
1446337981,10,14
1446345182,12,11
1446355981,12,10
1446359581,12,12
1446366781,12,9
1446373981,8,8
1446381182,12,10
1446388382,8,9
1446395582,11,14
1446402781,9,10
1446409982,11,11
1446413581,0,0
1446417182,6,6
1446427981,9,8
1446435182,8,10
1446442381,13,11
1446453182,10,9
1446460381,14,11
1446467581,13,12
1446474782,12,14
1446481981,14,17
1446489181,9,5
1446496381,7,9
1446503582,10,10
1446510782,8,7
1446521582,16,16
1446528781,14,12
1446539581,20,16
1446546781,7,9
1446557582,16,17
1446568382,10,14
1446571981,11,11
1446582782,6,5
1446589982,14,17
1446600782,17,16
1446611582,10,8
1446622382,8,9
1446633183,18,16
1446640381,8,8
1446651181,12,12
1446666037,24,25
1446676381,13,15
1446683582,10,11
1446694382,11,10
1446705181,15,15
1446712381,9,8
1446719582,6,6
1446726782,16,18
1446733982,13,11
1446741181,9,9
1446748381,12,15
1446755581,13,13
1446766381,8,8
1446773582,11,13
1446784381,14,12
1446791581,11,8
1446802382,16,14
1446809582,15,16
1446816781,14,12
1446823981,11,12
1446831182,14,16
1446838382,17,18
1446845581,7,7
1446852782,12,12
1446859982,11,11
1446870782,6,9
1446877981,15,14
1446885181,12,12
1446895982,13,12
1446903182,12,12
1446910381,15,14
1446917582,12,12
1446924782,12,12
1446931982,14,12
1446942782,11,14
1446949981,11,11
1446960781,14,13
1446967982,14,10
1446978782,11,11
1446985982,9,14
1446996782,9,9
1447003981,13,13
1447011181,10,10
1447018382,14,15
1447025581,12,11
1447032781,12,10
1447039982,12,15
1447043582,0,0
1447047636,14,13
1447057982,13,15
1447065181,14,12
1447072381,11,9
1447079581,14,14
1447086782,9,9
1447093982,9,10
1447104782,18,14
1447111982,14,18
1447122782,9,8
1447144382,13,16
1447151582,25,24
1447158781,6,6
1447165982,14,12
1447173181,14,17
1447180382,14,11
1447191181,11,10
1447198382,9,10
1447205581,10,10
1447212782,18,17
1447223582,16,13
1447230782,8,10
1447237982,7,8
1447245181,11,11
1447252381,12,13
1447259582,14,14
1447266781,12,11
1447273982,9,8
1447284781,8,11
1447291982,16,17
1447299182,11,10
1447309981,14,11
1447317181,12,12
1447324382,12,14
1447335182,11,13
1447342382,12,9
1447349581,16,19
1447356782,12,11
1447363981,14,12
1447371182,12,11
1447381982,12,15
1447385582,13,12
1447392782,12,12
1447399981,12,10
1447407182,9,9
1447414382,7,6
1447421582,15,12
1447428782,13,14
1447435982,13,14
1447443182,12,11
1447450382,10,13
1447457582,13,17
1447464781,12,11
1447471981,16,14
1447479182,11,10
1447486381,13,11
1447493582,10,11
1447500782,13,14
1447507981,9,10
1447515181,11,13
1447522381,12,12
1447529581,12,8
1447540382,16,15
1447543982,10,14
1447554782,9,9
1447561982,19,16
1447569181,4,5
1447576382,8,9
1447587182,15,15
1447590781,12,11
1447597981,8,9
1447605182,10,7
1447612381,21,22
1447623182,10,15
1447630382,21,19
1447637582,8,9
1447648382,13,14
1447655581,15,13
1447662782,16,16
1447669981,13,11
1447677182,14,16
1447684382,13,10
1447691581,7,7
1447698782,18,20
1447705981,6,9
1447713181,13,12
1447720382,6,8
1447727582,8,7
1447734782,8,5
1447741981,7,9
1447749182,12,13
1447756383,12,12
1447763581,13,13
1447770781,12,12
1447777982,12,12
1447785181,20,17
1447792385,7,6
1447799581,16,17
1447806782,6,7
1447813981,8,8
1447821182,14,12
1447828381,7,7
