DateTime,AddedIPs,RemovedIPs
1444206426,1,0
1444208406,0,1
1444210565,3,0
1444212547,0,2
1444214723,0,1
1444216690,1,0
1444218845,1,1
1444220829,2,1
1444222812,0,2
1444224966,3,0
1444226946,0,3
1444229128,2,0
1444231089,0,2
1444235228,3,0
1444237208,0,3
1444241347,1,0
1444247644,1,1
1444249629,0,1
1444253766,1,0
1444255747,0,1
1444259892,2,0
1444262044,0,2
1444266006,1,0
1444268169,0,1
1444272332,1,0
1444274296,1,1
1444276444,0,1
1444278426,1,0
1444280409,1,1
1444282570,1,1
1444284546,1,1
1444286723,0,1
1444292830,1,0
1444294812,0,1
1444307228,1,0
1444309211,0,1
1444311371,2,0
1444313348,1,2
1444315523,0,1
1444317490,1,0
1444319645,0,2
1444323616,1,0
1444325767,0,1
1444327747,2,0
1444329923,7,1
1444331894,3,8
1444334044,2,3
1444336027,8,0
1444338010,0,10
1444340171,2,0
1444342148,3,2
1444344321,0,3
1444346291,1,0
1444348444,2,1
1444350429,0,2
1444356551,1,0
1444358726,0,1
1444364824,1,0
1444366806,0,1
1444370947,1,0
1444373121,1,1
1444375089,4,1
1444377244,0,2
1444383368,1,0
1444385346,1,1
1444387509,1,1
1444389492,5,1
1444391644,4,5
1444393627,1,4
1444395613,1,1
1444397769,0,1
1444399747,10,0
1444401914,2,10
1444403892,0,1
1444406045,0,1
1444408027,0,1
1444410009,1,0
1444412165,1,1
1444414144,0,1
1444418291,1,0
1444420445,0,1
1444428545,2,0
1444430715,1,2
1444432693,0,1
1444434844,1,0
1444436826,0,1
1444440966,1,0
1444442971,1,1
1444445122,0,1
1444447108,1,0
1444449250,0,1
1444455377,1,0
1444461495,1,0
1444463677,0,1
1444473917,1,0
1444475906,2,1
1444478226,0,2
1444494429,1,0
1444496429,0,1
1444512973,1,0
1444514948,0,1
1444517120,0,1
1444525224,2,0
1444527374,1,2
1444529362,0,1
1444541773,1,0
1444543747,1,1
1444545920,1,1
1444547891,0,1
1444550052,1,0
1444554016,2,0
1444556166,0,2
1444560310,1,0
1444562299,0,1
1444566437,1,0
1444568411,0,1
1444572547,2,0
1444574720,0,1
1444582853,1,0
1444584966,0,1
1444586954,1,0
1444589114,0,1
1444591098,2,0
1444593244,0,2
1444599373,1,0
1444601347,1,1
1444603520,0,1
1444609634,1,0
1444611619,0,1
1444613770,0,1
1444628171,1,0
1444630146,2,1
1444632320,1,2
1444634289,1,1
1444636451,0,1
1444640422,3,0
1444642564,1,3
1444644556,0,1
1444646710,1,0
1444648696,1,1
1444650844,1,1
1444652837,0,1
1444658947,1,0
