DateTime,AddedIPs,RemovedIPs
1436869771,0,1
1436881062,3,1
1436883267,1,1
1436885203,1,1
1436911720,0,1
1436954632,1,1
1436957469,0,1
1436960223,0,1
1436972244,1,0
1436984864,0,1
1437002873,1,2
1437036143,1,0
1437040867,1,1
1437042496,1,1
1437064269,1,1
1437065485,1,1
1437135826,1,0
1437244558,1,0
1437311089,1,2
1437328393,1,1
1437369693,1,0
1437411608,1,1
1437417004,1,0
1437427276,0,1
1437438293,0,1
1437476723,1,0
1437505118,1,1
1437509309,1,1
1437557536,1,0
1437577876,1,1
1437581177,0,1
1437655593,3,2
1437702722,1,0
1437726455,2,1
1437728309,1,1
1437732714,2,0
1437735515,1,0
1437737403,1,1
1437739204,1,1
1437742805,1,1
1437748204,2,1
1437757203,1,1
1437759003,1,1
1437760803,1,1
1437764403,1,1
1437766204,1,1
1437769803,1,1
1437771604,1,1
1437775204,1,1
1437777003,1,1
1437778803,1,1
1437780603,1,1
1437782405,1,1
1437823019,1,1
1437830902,0,1
1437832631,0,1
1437909126,1,0
1437918966,1,0
1437933362,0,1
1437935702,2,2
1438011642,1,2
1438016586,1,0
1438078205,1,1
1438082887,0,1
1438085891,1,0
1438100256,1,1
1438101678,2,1
1438105404,1,0
1438171188,1,1
1438176550,0,1
1438179701,1,1
1438180172,1,0
1438260065,1,0
1438329645,1,0
1438333427,1,1
1438337068,0,1
1438345403,0,1
1438354932,1,0
1438356790,2,2
1438426411,1,1
1438439332,1,0
1438517128,1,1
1438593165,3,2
1438601566,0,1
1438641165,1,0
1438680544,1,1
1438682476,2,3
1438691985,1,0
1438714708,2,2
1438726902,0,1
1438771050,1,1
1438783547,1,0
1438801400,1,0
1438947870,0,1
1439080222,0,1
1439082007,1,1
1439086255,0,1
1439091574,1,1
1439094052,0,1
1439179763,0,3
1439203148,10,0
1439204828,1,1
1439206352,0,2
1439208505,1,0
1439209826,1,0
1439214966,0,1
1439220729,1,1
1439268123,0,1
1439271690,0,33
1439283188,9,6
1439285937,0,1
1439288214,1,1
1439291903,0,1
1439295933,2,1
1439298038,0,2
1439302095,0,1
1439366827,1,0
1439369101,2,1
1439375644,1,0
1439396789,1,1
1439398511,0,1
1439451026,2,0
1439452828,0,1
1439454613,1,0
1439456680,1,2
1439458208,2,1
1439461847,0,1
1439463650,0,1
1439464680,1,0
1439476379,5,1
1439481828,1,1
1439508103,1,0
1439541691,1,1
1439545643,1,1
1439549261,1,0
1439551152,0,1
1439568493,1,1
1439607603,0,1
1439636912,2,1
1439644590,1,0
1439659392,1,1
1439664604,0,1
1439728411,1,1
1439746859,1,2
1439809295,0,3
1439810542,1,1
1439820440,0,1
1439908642,1,1
1439914029,1,1
1439977057,2,1
1439980994,1,1
1439987621,1,1
1439997300,1,1
1440006243,2,1
1440061138,2,1
1440084089,2,1
1440087352,1,1
1440131609,1,1
1440135139,1,1
1440138736,2,1
1440142507,5,2
1440144255,1,1
1440147979,0,1
1440149666,1,1
1440151682,2,1
1440158233,3,3
1440160165,0,0
1440167542,0,1
1440168480,1,1
1440170111,1,1
1440181494,1,1
1440183620,1,1
1440198266,0,1
1440244215,5,1
1440251740,1,1
1440254102,1,1
1440258585,0,1
1440311417,0,1
1440313252,2,0
1440315076,0,2
1440325827,1,0
1440405329,2,0
1440408536,1,2
1440412787,2,2
1440418153,1,0
1440500568,0,2
1440507968,1,1
1440513675,0,1
1440589322,1,1
1440669634,0,0
1440675659,1,1
1440681048,1,0
1440705086,1,1
1440717104,0,1
1440757863,2,0
1440759009,1,1
1440766152,1,1
1440781529,2,0
1440843053,1,1
1440932315,4,1
1440940193,1,1
1440942964,1,0
1440975633,1,0
1440982830,0,0
1441011911,2,1
1441020382,1,1
1441053086,1,1
1441102401,2,2
1441109356,1,1
1441110916,1,0
1441112879,2,2
1441114455,1,1
1441130921,0,2
1441132585,1,2
1441139520,1,1
1441204217,0,1
1441263624,1,0
1441274382,1,2
1441276531,2,0
1441284088,1,1
1441359822,1,0
1441364461,1,0
1441369876,1,0
1441371601,0,1
1441374721,1,0
1441389644,0,1
1441457313,1,1
1441465033,0,1
1441469079,0,1
1441499405,1,0
1441501234,0,1
1441539858,1,0
1441542760,0,1
1441567807,1,0
1441569636,0,1
1441616417,3,0
1441617007,1,1
1441618807,1,1
1441626107,1,0
1441629695,0,1
1441630971,2,0
1441704388,1,1
1441705994,1,1
1441707789,1,1
1441712726,1,0
1441791801,1,0
1441797587,1,0
1441800188,1,1
1441870517,2,1
1441881085,2,2
1441882753,0,1
1441897413,1,1
1441945856,0,1
1441953093,1,0
1441965666,0,1
1441968824,1,1
1442052015,2,12
1442053840,1,2
1442055631,1,2
1442056679,1,1
1442059239,1,1
1442064631,1,1
1442066436,1,1
1442068228,1,1
1442071918,1,1
1442073623,1,2
1442075431,2,1
1442077224,1,1
1442089827,1,1
1442091674,1,1
1442093451,1,1
1442104221,1,1
1442113227,1,1
1442115140,0,1
1442120417,1,1
1442124034,1,1
1442127626,1,1
1442129439,1,1
1442131247,1,1
1442134826,1,1
1442136683,2,1
1442138445,2,2
1442140255,1,1
1442144582,3,3
1442146013,1,1
1442147454,1,1
1442153800,1,1
1442155637,2,1
1442156454,1,1
1442158316,1,1
1442160050,1,1
1442161845,1,1
1442167360,1,1
1442169041,1,1
1442170845,1,2
1442172713,2,0
1442174447,1,3
1442176240,1,1
1442185232,1,1
1442187042,1,1
1442188831,1,1
1442190638,1,1
1442192429,1,1
1442199634,1,1
1442201490,1,1
1442205023,1,1
1442208646,0,1
1442220331,0,1
1442221496,1,0
1442222543,1,1
1442227759,1,1
1442266262,1,0
1442307857,3,2
1442314761,1,1
1442395883,1,1
1442397632,0,1
1442407961,0,1
1442547052,1,0
1442571443,2,2
1442572844,1,1
1442577953,0,1
1442579483,1,0
1442580123,0,1
1442584895,2,0
1442586690,0,2
1442617250,1,0
1442617982,1,3
1442631290,1,0
1442649634,1,0
1442661025,2,1
1442662224,0,1
1442665535,2,0
1442667294,1,0
1442671233,1,0
1442710812,0,1
1442743788,1,1
1442744931,1,2
1442772209,1,0
1442790122,0,1
1442801426,0,1
1442803394,0,2
1442805270,0,4
1442806565,7,0
1442811691,1,0
1442822575,1,0
1442824277,0,1
1442825528,2,0
1442839984,1,0
1442862036,0,1
1442865726,1,0
1442883873,1,1
1442913254,6,1
1442914691,1,1
1442920189,1,0
1442921995,1,2
1442995350,1,1
1442998926,1,0
1443000824,0,3
1443002935,3,2
1443006010,0,1
1443013765,1,0
1443016863,1,0
1443018605,0,2
1443092614,3,0
1443094472,1,3
1443096460,2,2
1443098131,0,1
1443101053,0,1
1443114010,1,0
1443119420,1,2
1443162716,1,0
1443173972,0,1
1443175893,1,2
1443266055,6,1
1443267478,1,2
1443282249,1,1
1443301203,0,1
1443347224,0,2
1443349873,1,1
1443350382,1,1
1443377618,0,3
1443382346,3,0
1443436791,3,1
1443438565,1,1
1443439991,0,1
1443468603,1,0
1443488403,0,1
1443516898,1,3
1443518739,1,1
1443521379,1,2
1443528003,0,1
1443543075,2,1
1443609552,1,3
1443611597,4,1
1443612797,2,0
1443618012,0,1
1443691411,2,0
1443693808,1,1
1443703907,0,1
1443771190,1,0
1443787304,2,0
1443794468,0,1
1443807422,0,2
1443809175,1,0
1443901205,2,0
1443908945,0,1
1443934988,0,1
1443964581,3,1
1443976854,2,1
1444039894,2,1
1444041059,0,1
1444128137,2,0
1444128447,0,1
1444133341,2,1
1444143751,0,1
1444217835,0,3
1444239688,1,1
1444318535,2,1
1444349756,0,2
1444351333,1,0
1444374195,0,1
1444376088,1,0
1444401777,3,0
1444404199,1,1
1444408014,0,1
1444417571,0,1
1444426382,1,0
1444428496,0,1
1444486731,1,0
1444492181,1,0
1444515142,0,1
1444563265,2,2
1444572328,1,0
1444574160,0,1
1444584818,1,0
1444586797,0,1
1444613477,0,1
1444747044,3,0
1444749881,1,0
1444750998,1,0
1444756861,0,1
1444759345,2,0
1444764932,0,1
1444768752,1,1
1444797831,0,1
1444815272,1,0
1444817099,1,1
1444817359,1,2
1444824554,3,0
1444826642,0,1
1444826968,1,1
1444829927,1,2
1444847419,0,1
1444854639,1,0
1444856426,0,1
1444887024,1,0
1444888844,0,1
1444905749,1,1
1444913321,0,1
1444914856,1,0
1444915834,1,1
1444923466,1,0
1445004026,1,3
1445011604,1,0
1445013782,0,1
1445020476,0,1
1445049116,1,0
1445051114,0,1
1445058217,1,0
1445080530,1,1
1445085230,1,0
1445086295,1,0
1445089295,0,1
1445162458,1,0
1445172098,1,1
1445182218,1,0
1445198445,0,1
1445243568,1,0
1445261781,0,1
1445272459,0,1
1445336659,1,1
1445350370,0,1
1445418968,0,1
1445421237,0,3
1445423035,2,1
1445424234,5,0
1445425980,1,1
1445439999,1,2
1445443452,1,0
1445459663,0,1
1445531878,6,2
1445578472,0,2
1445594609,1,0
1445596780,0,2
1445599985,0,1
1445601667,1,0
1445616115,1,0
1445853680,0,1
1445877065,0,0
1448009138,0,230
